"key","message","comment","context"
"+{0} more","+{0} дополнительно",,
"API Documentation","Документация по API",,
"About","Своевременность",,
"Access error","Ошибка доступа",,
"Action","Действие",,
"Action Category","Категория",,
"Action Sub-Category","Подкатегория",,
"Action...","Действие...",,
"Active Users","Активные пользователи",,
"Add","Добавить",,
"Add Field","Добавить поле",,
"Add and new","Добавить и создать",,
"Add filter","Добавить фильтр",,
"Add followers","Добавить подписчиков",,
"Add some tags","Добавление тегов",,
"Add to favorites...","Добавить в избранное…",,
"Advanced Search","Расширенный поиск",,
"Align left","Выровнять по левому краю",,
"Align right","Выровнять по правому краю",,
"All","Весь",,
"All Day","Весь день",,
"All Rights Reserved","Все права защищены",,
"Alt.Key","Alt",,
"Apply","Применить",,
"Apply as default for all users","Применять по умолчанию для всех пользователей",,
"Archive","Архивировать",,
"Are you sure to unfollow this document?","Вы уверены, что хотите отказаться от подписки на этот документ ?",,
"Are you sure you want to delete the {0} selected documents?","Вы уверены, что хотите удалить выбранные {0} документы ?",,
"Are you sure you want to delete {0}?","Вы уверены, что хотите удалить {0} ?",,
"Are you sure you want to reset this view customization?","Вы действительно хотите сбросить эту настройку ?",,
"Attached to...","Прикрепленный к ...",,
"Attachment","вложению",,
"Attachments","Приложение",,
"Attributes","Атрибуты",,
"Auto","Авто",,
"Avg","Мой",,
"Back","обратный",,
"Background color","цвет фона",,
"Blockquote","Цитата",,
"Bold (Ctrl+B)","Полужирный (Ctrl+B)",,
"Call","Называть",,
"Cancel","Отменить",,
"Cancelled","Отмененный",,
"Center","Центрировать",,
"Change password","Сменить пароль",,
"Change your password","Измените свой пароль",,
"Clear","Стереть",,
"Close","Закрыть",,
"Close All","закрыть все",,
"Close Others","Закрывать других",,
"Code","Код",,
"Collapse All","Свернуть все",,
"Columns","Столбы",,
"Comments","Комментарии",,
"Confirm new password","Подтвердите новый пароль",,
"Count","Количество",,
"Create","создать",,
"Create document","создать документ",,
"Create folder","Создать папку",,
"Create spreadsheet","для работы с электронными таблицами",,
"Create...","создать ...",,
"Created","создано",,
"Created By","Создано с помощью",,
"Created On","созданного",,
"Ctrl.Key","Ctrl",,
"Current changes will be lost. Do you really want to proceed?","Текущие изменения будут потеряны. Вы хотите продолжить ?",,
"Current changes will be saved. Do you want to proceed?","Текущие изменения будут сохранены. Вы хотите продолжить ?",,
"Custom ({0})","Человек. ({0})",,
"Customize...","Персонализировать ...",,
"DMS.Home","Добро",,
"Dark","Пожаловать В Темный",,
"Day","День",,
"Days","Дни",,
"Delete","Удалить",,
"Delete...","Удалить...",,
"Delete.Key","Удалить",,
"Details","Детализация",,
"Details...","Детализация...",,
"Directory","Каталог",,
"Display process","Посмотреть процесс",,
"Do you really want to archive the selected record(s)?","Вы уверены, что хотите заархивировать выбранные записи(записи)?",,
"Do you really want to archive the selected record?","Вы уверены, что хотите заархивировать выбранную запись ?",,
"Do you really want to delete the selected record(s)?","Вы уверены, что хотите удалить эти записи(записи)?",,
"Do you really want to delete the selected record?","Вы уверены, что хотите удалить выбранную запись ?",,
