"key","message","comment","context"
"Additional Partner/Contacts","Третьи стороны/дополнительные контакты",,
"Additional leads","Дополнительные треки",,
"Allow the editing of the targets","Разрешить изменение целей",,
"An event will be generated by target, are you sure you want to continue ?","Событие будет сгенерировано для каждой цели, вы уверены, что хотите продолжить ?",,
"Assign to","Назначенный на",,
"Assigned to","Назначенный на",,
"Attendee","Участник",,
"Attendees","Участники",,
"Batchs","Массовые процедуры",,
"Both","Пара",,
"Campaign","Кампания",,
"Campaign Type","Тип кампании",,
"Campaign reminders","Напоминания",,
"Campaign type","Тип кампании",,
"Campaign types","Типы кампаний",,
"Campaigns","Кампании",,
"Cancel","Отменить",,
"Cannot generate targets. Please check lead filter of Target Model.","Невозможно сгенерировать цели. Проверьте фильтр дорожек целевой модели",,
"Cannot generate targets. Please check partner filter of Target Model.","Невозможно сгенерировать цели. Проверьте сторонний фильтр целевой модели",,
"Clear Selection","Очистить выделение",,
"Configuration",,,
"Contact","Контакт",,
"Contact/Partner reminder template","Модель стимулирования клиентов",,
"Contact/Partners template","Модель Контакта / Третьей Стороны",,
"Days","Дни",,
"Description",,,
"Draft","Черновик",,
"Duration","Продолжительность",,
"Duration type","Тип продолжительность",,
"Email",,,
"Email Account","Учетная запись электронной почты",,
"Email sending log","журнал отправки электронной почты",,
"Emailing","Кампания по электронной почте",,
"Emailing report","Отчет по электронной почте",,
"Emails sent successfully","Успешно отправленные электронные письма",,
"End","Завершить",,
"End date time",,,
"Ended","Законченный",,
"Enrolled","Зарегистрированные",,
"Error in sending an email to the following targets","Ошибка при отправке электронного письма следующим целям",,
"Error in sending emails. Please check the log file generated.","Ошибка при отправке электронных писем. Пожалуйста, проверьте сгенерированный журнал.",,
"Event Type","Тип события",,
"Event end","Дата окончания",,
"Event start","Начало начала",,
"Event type","Тип события",,
"Events","События",,
"Fiscal position","Налоговая позиция",,
"Generate Events","генерировать события",,
"Generate Targets","генерировать цели",,
"Generate event to the team and salesperson in charge of the partner/leads","генерировать событие для команды, отвечающей за третью сторону / трек",,
"Generated emails","Сгенерированные электронные письма",,
"Guided","Направленный",,
"Hours","Часы",,
"Information",,,
"Invite all targets","Пригласить все цели",,
"Invite selected targets","Пригласить выбранные цели",,
"Invited","Приглашенные",,
"Launch emailing","Начать рассылку по электронной почте",,
"Lead","Трек",,
"Lead Query","Запрос по трекам",,
"Lead filters","Фильтры на дорожках",,
"Lead reminder template","Модель взлетно-посадочной полосы",,
"Leads","Следы",,
"Leads Target List","Целевой список треков",,
"Leads template","Шаблон треки",,
"Manage an event per target","управление событием по цели",,
"Manage attendees","управление участниками",,
"Manual","Руководство",,
"Marketing","По Маркетингу",,
"Marketing Campaigns","Маркетинговые кампании",,
"Minutes",,,
"Name","Имя",,
"Not participating","Не участвует",,
"Open filtered leads","Открыть отфильтрованные треки",,
"Open filtered partners","Открыть отфильтрованные третьи стороны",,
"Open planned events","Открытие запланированных событий",,
"Participate","Причастие",,
"Partner","Третье сословие",,
"Partner Query","Запрос от третьих лиц",,
"Partner filters","Фильтры для третьих лиц",,
"Partner/Contacts Target List","Целевой список третьих лиц/контактов",,
"Partners","Третье сословие",,
"Past events","Прошлые события",,
"Plan",,,
"Planned","Планировать Запланированное",,
"Planned events","Запланированные мероприятия",,
"Please add atleast one invited Partner or Lead.","Пожалуйста, добавьте хотя бы одного гостя стороннего типа или трека.",,
"Please select at least one template","Пожалуйста, выберите шаблон электронного письма",,
"Please select target","Выберите цель",,
"Presence","присутствие",,
"Present at the event","присутствующий на мероприятии",,
"Related to","Связанный с",,
"Related to select","Связанный с выбором",,
"Reminded","Напомнившая",,
"Reminders","Напоминания",,
"Report","Отчет",,
"Results","Результаты",,
"Select Query type","Тип запроса",,
"Select target field","Выберите целевое поле",,
"Select type","Выберите тип",,
"Send a reminder","Отправить отзыв",,
"Sequence","Последовательность",,
"Stage","Шаг",,
"Start","Запустить",,
"Start date time","Дата начала",,
"Started","Запущенный",,
"Subject","Тема",,
"Suspend","Приостановить",,
"Suspended","Приостановленный",,
"Target List","Список целей",,
"Target Model","Целевая модель",,
"Target list","Список целей",,
"Target lists","Списки целей",,
"Targets","Мишени",,
"Targets to contact","Цели для связи",,
"Team","с командой",,
"Template","Модель",,
"Tools","Инструмент",,
"Type",,,
"Weeks",,,
"value:Marketing Management","Маркетинговые Недели",,
