"key","message","comment","context"
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>соответствие запросу :<br>имя ->: firstName <br>имя -> : lastName <br > электронная почта ->: электронная почта <br>телефон ->: телефон <br>",,
"A replacement object is missing for model %s.","Объект замены отсутствует для модели %s.",,
"Access","Доступ",,
"Activate","Включить",,
"Active","Активный",,
"Anonymization result","Результат анонимизации",,
"App",,,
"App GDPR","Применение GDPR",,
"App gdpr","Применение GDPR",,
"Archive","Архивировать",,
"Archive data","Архивировать данные",,
"Are you sure to cancel the request ?","Вы уверены, что хотите отменить запрос ?",,
"Are you sure to confirm the request ?","Вы уверены, что хотите подтвердить запрос ?",,
"Can not find object.","Не удалось найти объект.",,
"Cancel","Отменить",,
"Canceled","Отмененный",,
"Code",,,
"Comment","Комментарий",,
"Configurations",,,
"Configure how the app will search the datas","Настройте метод поиска приложения.",,
"Configure request origins","Настройте источники запросов.",,
"Confirm","Подтвердить",,
"Confirmed","Подтверждено",,
"Data file","Файл данных",,
"Data processed","Обрабатываемые данные",,
"Datas to exclude configuration","Настройка исключаемых данных",,
"Description",,,
"Draft","Черновое Описание",,
"Due sending date","Крайний срок отправки",,
"Elements to be excluded from the access request","Поля, которые необходимо исключить из запроса на доступ",,
"Email","Эмаль",,
"Email template for access request response","Шаблон электронной почты для ответа на запрос доступа",,
"Email template for erasure request response","Шаблон электронного письма для ответа на запрос об удалении",,
"Email template to send when responding to an access request.","Шаблон электронного письма для отправки ответа на запрос доступа.",,
"Email template to send when responding to an erasure request.","Шаблон электронного письма для отправки ответа на запрос об удалении.",,
"Erasure","Стирание",,
"Error occurred","Произошла ошибка.",,
"Error while sending the mail : %s","Произошла ошибка при отправке электронного письма: %s",,
"Field %s of model %s has not been anonymized. Please check manually.","Поле %s объекта %s не было анонимизировано. Пожалуйста, проверьте это вручную.",,
"Field displayed in the result of the research","Поле, отображаемое в результате запроса",,
"Fields","Поля",,
"First name","Имя",,
"GDPR","GDPR",,
"GDPR Processing Register Log","Журнал регистрации обработки",,
"GDPR Request","Запрос GDPR",,
"GDPR app","Применение GDPR",,
"GDPR erasure log","Журнал очистки GDPR",,
"GDPR erasure logs","Журналы очистки GDPR",,
"GDPR processing register log","Журнал регистра обработки",,
"GDPR processing register logs","журналы регистра обработки",,
"GDPR processing registers","Записи об обработке",,
"GDPR search configuration","Настройка для поиска GDPR",,
"GDPR search configuration lines","Строки конфигурации для поиска GDPR",,
"Gdpr processing register log list","Журналы реестра обработки",,
"Gdpr processing register rule list","Список правил реестра обработки",,
"Impossible to link with the children meta field %s, no mappedBy field found.","""Невозможно выполнить привязку к дочернему метаполю %s, сопоставленное поле неизвестно"".",,
"Indicate which date should be verified. If one of the date is after the retention date, the data will not be archived.","""Укажите, какая дата должна быть проверена. Если какая-либо из дат превышает дату хранения, данные не будут заархивированы"".",,
"JPQL filter to add to the query","Фильтр JPQL для добавления в запрос",,
"Key","Ключ",,
"Label","Формулировка",,
"Last name","Название",,
"Lead","Трека",,
"Mapping",,,
"Maximum days to respond","Максимальное количество дней для ответа",,
"Maximum number of days to respond to a request.","максимальное количество дней для ответа на запрос.",,
"Meta model",,,
"Missing response email address","Отсутствие адреса электронной почты для ответа.",,
"Model","Модель",,
"Model %s has been anonymized using the anonymizer %s.","Объект %s действительно был анонимизирован в соответствии с анонимайзером %s.",,
"Model id","Идентификатор модели",,
"Model log","Журнал",,
"Model to search","объектной модели для поиска",,
"Models",,,
"Name","Имя",,
"Name of the key for the search engine","имя ключа для поисковой системы",,
"No anonymizer found in app GDPR configuration.","В приложении GDPR нет настроенного псевдонимизатора.",,
"Number of records","Количество записей",,
"Partner","Третье сословие",,
"Phone","Телефон",,
"Please configure a mail template for access request response.","пожалуйста, настройте шаблон электронной почты для ответа на запрос о доступе.",,
"Please configure a mail template for erasure request response.","Пожалуйста, настройте шаблон электронной почты для ответа на запрос об удалении.",,
"Please enter at least one field.","Пожалуйста, введите хотя бы одно поле.",,
"Please select a line","Пожалуйста, выберите строку",,
"Please select at least a pseudonymizer and/or choose to archive the data.","Пожалуйста, выберите хотя бы один псевдонимизатор и/или опцию для архивирования данных.",,
"Please select only one line","Пожалуйста, выберите только одну строку",,
"Processed finished","Лечение завершено.",,
"Processing date","Дата обработки",,
"Processing register","Реестр обработки",,
"Processing register - Archiving","Регистр обработки-архивирование",,
"Processing register rule","Правило реестра обработки",,
"Processing register rules","Правила ведения реестра обработки",,
"Pseudonymizer","Псевдонимизатор",,
"Pseudonymizer template to use when pseudonymizing datas.","Псевдонимизатор для использования при псевдонимизации объектов.",,
"Query","Запрос",,
"Received","Получаемый",,
"Reference","Ссылка",,
"Register created","Созданный реестр",,
"Relationship Anonymizer","Анонимайзер отношений",,
"Relationship anonymizer","Анонимайзер отношений",,
"Request","Запрос",,
"Request date","Дата подачи заявления",,
"Request origin","Происхождение запроса",,
"Requests","Запросы",,
"Requests origin","происхождение запросов",,
"Requests origins","происхождение запросов",,
"Response","Ответ",,
"Response email address","Ответный адрес электронной почты ответное",,
"Response message","сообщение",,
"Restore","восстановить",,
"Results","результаты",,
"Retention period (in months)","Срок хранения (в месяцах)",,
"Rule","Правило",,
"Run process","начать обработку",,
"Search","Поиск",,
"Search configuration","конфигурации для поиска",,
"Search configuration line","Строка конфигурации для поиска",,
"Search configuration lines","Строки конфигурации для поиска",,
"Search configurations","Конфигурации для поиска",,
"Select fields to exclude from the access request response. Leave empty if all fields should be excluded.","Выберите поля, которые необходимо исключить из ответа на запрос доступа. Оставьте пустым, если все поля должны быть исключены.",,
"Send Response","Отправить ответ",,
"Sending date","Дата отправки",,
"Sent","Посланный",,
"Status","Государство",,
"This field doesn't exist.","Это поле не существует.",,
"Type",,,
"com.axelor.apps.gdpr.job.ProcessingRegisterJob",,,
"result","результат",,
"value:GDPR","GDPR",,
