"key","message","comment","context"
"<>
  <Box d=""flex"" alignItems=""center"">
    <Icon icon={""exclamation-triangle""} />
    <span>{_t(""The scheduler service is disabled."")}</span>
  </Box>
</>",,,
"A views restoring is already in progress. Please wait until it ends and try again.","Восстановление видов уже ведется. Пожалуйста подождите до конца и попробуйте еще раз.",,
"Access error","Ошибка доступа",,
"Action","Действие",,
"Action Menu","Действие меню",,
"Action Menus","Меню Действий",,
"Action name can't be changed.","Название действия не может быть изменено.",,
"Actions","действие",,
"Activate on","Разрешить из",,
"Activate the user from the specified date.","Активирует пользователя с указанной даты.",,
"Active","Активный",,
"Address","Адрес",,
"Administration","Администрирование",,
"All Actions","действие",,
"All Charts","Диаграммы",,
"All Custom Views","все пользовательские представления",,
"All Documents","Все файлы",,
"All Menu Help","Справка по всем меню",,
"All Menus","меню",,
"All Models","модель",,
"All Modules","модуль",,
"All Schedules","планировщик",,
"All Selects","выбор",,
"All Teams","Все команды",,
"All Translations","перевод",,
"All View Help","Справка со всех точек зрения",,
"All Views","вид",,
"All jobs have been restarted.","Все экземпляры были перезапущены.",,
"All the customizations will be lost. Are you sure?","Все изменения будут потеряны. Вы хотите продолжить ?",,
"All views have been restored (%s).","Все просмотры были восстановлены (%s).",,
"Allow","Разрешения",,
"Amber","Янтарный",,
"An unique permission name.","Уникальное имя разрешения",,
"Application","Приложение",,
"Archived","Архивированный",,
"Assigned to","Назначенный на",,
"Attached to","Привязанный",,
"Attributes","Атрибуты",,
"Attrs","Атрибуты",,
"Author","Автор",,
"Authorization","Разрешение",,
"Authorized roles","Разрешенные роли",,
"Black","Черный",,
"Block the user","заблокировать пользователя",,
"Block the user for an indefinite period.","заблокировать пользователя на неопределенный срок.",,
"Blue","Синь",,
"Blue Grey","Сине-серый",,
"Body",,,
"Boolean","Логическое Тело",,
"Brown","Коричневая",,
"Button","Кнопка",,
"Calendar","Календарь",,
"Can customize","можно настроить",,
"Can read",", можно прочитать",,
"Can share","Может поделиться",,
"Can write","Может писать",,
"Canceled","Отмененный",,
"Cannot delete a task while scheduler is running...","Невозможно удалить задачу во время выполнения планировщика...",,
"Cards","Карты",,
"Category","Категория",,
"Category name to group action menus.","Название категории для группировки действий в меню",,
"Change password?","Сменить пароль ?",,
"Chart","График",,
"Client side js expression","Выражение js на стороне клиента",,
"Closed","Закрытый",,
"Code","Код",,
"Code length should be greater than 2.","Длина идентификатора должна быть больше 2",,
"Collapse","Сгруппировать",,
"Color","Цвет",,
"Column sequence","Последовательность столбцов",,
"Come back later. There are no messages in this folder...","вернитесь позже. В этой папке нет сообщений…",,
"Comma separated list of params for the condition.","Разделенный запятыми список параметров",,
"Comment","Комментарий",,
"Computed","Рассчитанный",,
"Concurrent updates error","Обнаружено одновременное изменение",,
"Condition","Условие",,
"Condition params","Параметры",,
"Condition to check","условие для проверки",,
"Conditions","условия",,
"Configuration","Конфигурация",,
"Confirm new password","Подтвердите новый пароль",,
"Confirm new password of the user (must be identical to the new password)","Подтвердите новый пароль пользователя (должен совпадать с новым паролем)",,
"Confirm password","Подтвердите пароль",,
"Confirm password of the new user (must be identical to the password)","Подтвердите пароль нового пользователя (должен совпадать с паролем)",,
"Content","Содержимое",,
"Content type","Тип контента",,
"Context field","Поле контекста",,
"Context field target","Цель поля контекста",,
"Context field target name","Целевое имя поля контекста",,
"Context field title","Заголовок поля контекста",,
"Context field value","Значение поля контекста",,
"Create","Создание",,
"Created","Создано",,
"Created by","Создано",,
"Created on","созданным",,
"Cron","Cron",,
"Current password","Текущий пароль",,
"Current password of the logged in user","Текущий пароль вошедшего в систему пользователя",,
"Current password of the user","Текущий пароль пользователя",,
"Custom","Индивидуализированный",,
"Custom Fields","Настраиваемые поля",,
"Custom Models","Пользовательские шаблоны",,
"Custom field","Настраиваемое поле",,
"Custom fields","Настраиваемые поля",,
"Custom model","Пользовательский шаблон",,
"Custom models","Пользовательские шаблоны",,
"Custom-ManyToMany","Обычай-Манитомания",,
"Custom-ManyToOne","Пользовательский-ManyToOne",,
"Custom-OneToMany","Обычай-Онетомания",,
"Cyan","Циан",,
"Dashboard","Приборная панель",,
"Data","Данные",,
"Date","Дата",,
"DateTime","Дата и время",,
"Decimal","Десятичный",,
"Deep Orange","Темно-оранжевый",,
"Deep Purple","Темно-фиолетовый",,
"Default","Дефект",,
"Default home action.","Действие по умолчанию.",,
"Default value","Значение по умолчанию",,
"Dependent features","Зависимые функции",,
"Dependent modules","Зависимые модули",,
"Depends","Зависит от",,
"Depends On","зависит от",,
"Description","описания",,
