"key","message","comment","context"
"Calendar per employee","Расписание на одного сотрудника",,
"Employee planned operations","Запланированные операции на одного сотрудника",,
"Employee planning","Планирование сотрудников",,
"Employee real operations","Фактические операции на одного сотрудника",,
"Employees",,,
"Enable timesheet on manuf order","Включить табели учета рабочего времени для OFs",,
"Generate timesheet line on manufacturing operation stop","создать строку табеля рабочего времени",,
"Invoiced","Фактурный",,
"Manage business production","Управление производством по делу",,
"Manuf order","Производственный заказ",,
"Manuf. Orders Selection","Выбор производственные заказы производственная",,
"Manufacturing operation","операция",,
"Operation",,,
"Overview","Предварительный просмотр",,
"Production orders","Производственные заказы",,
"Project","по проекту",,
"Skill needed","Требуемые навыки",,
"Skills",,,
"Some working employees do not have their timesheet imputation on manuf order, therefore no timesheet line will be generated for those, do you want to continue anyway ?","У некоторых работающих сотрудников нет учета рабочего времени в O. F, поэтому для них не будет сгенерировано ни одной строки рабочего времени, Хотите ли вы в любом случае продолжить ?",,
"Some working employees have their time logging preference set to 'days' or it is not matching with their current timesheet, do you want to continue anyway ?","У некоторых работающих сотрудников единицы учета рабочего времени указаны в ""днях"" или не соответствуют их текущему расписанию. Вы все еще хотите продолжить ?",,
"Some working users have no employee associated, therefore no timesheet line will be generated for those, do you want to continue anyway ?","У некоторых активных пользователей нет связанных с ними сотрудников, поэтому для них не будет сгенерировано ни одной строки расписания, хотите ли вы продолжить в любом случае ?",,
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?","На этом сайте есть расписания, ожидающие подтверждения, Вы все равно хотите продолжить ?",,
"There are timesheet still waiting validation on this manufacturing operation, do you want to continue anyway ?","Есть расписания, ожидающие подтверждения по этой операции, вы все равно хотите продолжить ?",,
"Time logging preference for employee %s is not yet taken into account for duration computation","Предпочтение единицы измерения времени сотрудника %s не учитывается при расчете продолжительности",,
"Timesheet Line","Строка расписания",,
"Timesheet Lines","Строки табеля учета рабочего времени",,
"Timesheet imputed on","в табелях",,
"Timesheet imputed on manufacturing order","учета рабочего времени, относящихся к O. F. табели учета рабочего времени, относимые к",,
"Timesheet imputed on project","проекту",,
"Timesheet line","Строка расписания",,
"Timesheet lines","Строки расписания",,
"Timesheet on manuf order is not enabled.","Табели учета рабочего времени не обрабатываются по производственным заказам.",,
"To Invoice","Выставлять счет",,
"To invoice","Выставлять",,
"Warning, this manuforder is finished","счет ""осторожно, это событие завершено""",,
"Warning, this manuforder is from another company.","""Будьте осторожны, этот OF принадлежит другой компании"".",,
"Work center",,,
